,precision,recall,f1-score,support
0,0.8888888888888888,1.0,0.9411764705882353,8.0
1,1.0,0.85,0.918918918918919,20.0
2,0.9259259259259259,1.0,0.9615384615384616,25.0
3,1.0,1.0,1.0,20.0
accuracy,0.958904109589041,0.958904109589041,0.958904109589041,0.958904109589041
macro avg,0.9537037037037037,0.9625,0.955408462761404,73.0
weighted avg,0.9624556062912228,0.958904109589041,0.9581678312540521,73.0
